code,p22lee,p22yoon,p22sim,p22etc,p22valid,p17moon,p17HY,p17Ahn,p17sim,p17etc,p17valid,r22lee,r22yoon,r22sim,r17moon,r17HYA,r17sim,d_the,d_kuk,d_sim,win22r,winner,wingap22,sec22r,sec22
1106086,7897,8086,388,131,16502,7023,4994,4174,1002,4250,17269,0.478548055,0.490001212,0.023512302,0.406682495,0.530893509,0.058023047,0.07186556,-0.040892297,-0.034510746,0.490001212,2,0.011453157,0.478548055,1
1106087,11171,10632,578,193,22574,9464,6499,5270,1242,5339,22544,0.494861345,0.470984318,0.025604678,0.419801278,0.522045777,0.055092264,0.075060067,-0.051061459,-0.029487586,0.494861345,1,0.023877027,0.470984318,2
1106088,9600,9265,446,147,19458,7655,5490,4359,1037,4433,18615,0.493370336,0.476153767,0.022921164,0.411227505,0.529089444,0.055707763,0.082142831,-0.052935677,-0.032786599,0.493370336,1,0.017216569,0.476153767,2
1106080,4992,6211,263,135,11601,4692,4614,3135,704,3204,13214,0.430307732,0.535384881,0.022670459,0.355077948,0.58642349,0.053276828,0.075229784,-0.05103861,-0.030606368,0.535384881,2,0.105077149,0.430307732,1
1106071,3659,4296,334,84,8373,3614,1985,1360,628,1395,7622,0.436999881,0.51307775,0.039890123,0.474153765,0.438861191,0.082393073,-0.037153885,0.074216559,-0.04250295,0.51307775,2,0.076077869,0.436999881,1
1106072,3550,3981,236,63,7830,2997,2203,1689,493,1726,7419,0.453384419,0.508429119,0.030140485,0.403962798,0.524599003,0.066451004,0.049421621,-0.016169884,-0.036310519,0.508429119,2,0.0550447,0.453384419,1
1106073,5757,6306,385,118,12566,5887,3903,3063,1006,3134,13930,0.458141015,0.501830336,0.03063823,0.422613065,0.500071788,0.072218234,0.03552795,0.001758548,-0.041580004,0.501830336,2,0.04368932,0.458141015,1
1106089,4377,5303,344,102,10126,6470,4656,3457,1099,3533,15758,0.432253605,0.523701363,0.033971953,0.4105851,0.5148496,0.069742353,0.021668505,0.008851763,-0.0357704,0.523701363,2,0.091447758,0.432253605,1
1106090,5409,5476,297,108,11290,5270,3609,2904,781,2965,12625,0.479096546,0.485031001,0.026306466,0.417425743,0.515881188,0.061861386,0.061670803,-0.030850187,-0.03555492,0.485031001,2,0.005934455,0.479096546,1
1107071,9857,8612,514,224,19207,8575,5556,5124,1331,5218,20680,0.513198313,0.448378195,0.026761077,0.414651838,0.516441006,0.064361702,0.098546476,-0.06806281,-0.037600625,0.513198313,1,0.064820118,0.448378195,2
1107052,6526,5822,319,146,12813,5924,3952,3587,914,3647,14437,0.509326465,0.454382268,0.024896589,0.410334557,0.522199903,0.063309552,0.098991908,-0.067817635,-0.038412962,0.509326465,1,0.054944197,0.454382268,2
1107072,6846,6321,348,179,13694,6113,4295,3648,879,3746,15033,0.499926975,0.461589017,0.025412589,0.406638728,0.528370917,0.058471363,0.093288247,-0.0667819,-0.033058774,0.499926975,1,0.038337958,0.461589017,2
1107054,5469,4971,274,123,10837,5120,3407,2995,713,3047,12287,0.504659961,0.458706284,0.02528375,0.416700578,0.521038496,0.058028811,0.087959383,-0.062332212,-0.032745061,0.504659961,1,0.045953677,0.458706284,2
1107055,4678,3841,238,86,8843,2570,1430,1553,399,1575,5974,0.529005993,0.434354857,0.026913943,0.430197523,0.499330432,0.066789421,0.098808471,-0.064975575,-0.039875478,0.529005993,1,0.094651136,0.434354857,2
1107057,6433,6187,335,128,13083,5329,3808,3089,789,3157,13083,0.491706795,0.472903768,0.025605748,0.40732248,0.527172667,0.060307269,0.084384316,-0.054268899,-0.034701521,0.491706795,1,0.018803027,0.472903768,2
1107059,5796,5923,338,141,12198,5944,3906,3312,925,3403,14178,0.475159862,0.485571405,0.027709461,0.419241078,0.509098603,0.065241924,0.055918785,-0.023527198,-0.037532464,0.485571405,2,0.010411543,0.475159862,1
1107060,5961,5275,379,120,11735,4478,2986,2490,683,2525,10672,0.507967618,0.449510013,0.032296549,0.419602699,0.513118441,0.06399925,0.08836492,-0.063608428,-0.031702702,0.507967618,1,0.058457605,0.449510013,2
1107061,6352,5820,358,149,12679,5137,3236,2983,802,3029,12204,0.500985882,0.459026737,0.028235665,0.420927565,0.509587021,0.065716159,0.080058317,-0.050560284,-0.037480493,0.500985882,1,0.041959145,0.459026737,2
1107062,6355,5530,311,171,12367,5978,4325,3895,904,3963,15170,0.513867551,0.447157759,0.02514757,0.394067238,0.541858932,0.059591299,0.119800313,-0.094701174,-0.034443728,0.513867551,1,0.066709792,0.447157759,2
1107064,9153,9285,482,173,19093,8361,5572,4593,1195,4670,19798,0.479390352,0.486303881,0.025244854,0.422315385,0.513435701,0.060359632,0.057074967,-0.02713182,-0.035114778,0.486303881,2,0.006913529,0.479390352,1
1107065,6309,5462,326,147,12244,4857,3178,2867,746,2907,11688,0.515272787,0.446096047,0.026625286,0.415554415,0.517197125,0.063826146,0.099718372,-0.071101078,-0.037200861,0.515272787,1,0.06917674,0.446096047,2
1107073,9324,9515,468,204,19511,7173,6164,4316,1071,4390,18798,0.47788427,0.48767362,0.023986469,0.381583147,0.557506118,0.056974146,0.096301123,-0.069832498,-0.032987677,0.48767362,2,0.00978935,0.47788427,1
1107068,5639,4794,258,174,10865,4194,3052,2625,699,2677,10622,0.519005983,0.441233318,0.023745973,0.394840896,0.534456788,0.065806816,0.124165086,-0.09322347,-0.042060843,0.519005983,1,0.077772665,0.441233318,2
1107069,9941,9873,529,174,20517,9301,6439,5402,1274,5469,22483,0.484525028,0.481210703,0.025783497,0.413690344,0.526664591,0.056665036,0.070834684,-0.045453888,-0.030881539,0.484525028,1,0.003314325,0.481210703,2
1107070,8576,7801,489,157,17023,7549,4609,3773,1073,3828,17059,0.503788991,0.458262351,0.028725842,0.442523008,0.491353538,0.062899349,0.061265983,-0.033091187,-0.034173508,0.503788991,1,0.04552664,0.458262351,2
1108081,4788,4713,369,103,9973,4425,2977,2010,844,2051,10297,0.48009626,0.472575955,0.0369999,0.429736817,0.48431582,0.081965621,0.050359443,-0.011739865,-0.044965721,0.48009626,1,0.007520305,0.472575955,2
1108082,7989,7025,601,135,15750,7800,4243,3829,1349,3895,17287,0.507238095,0.446031746,0.03815873,0.451206109,0.466940476,0.078035518,0.056031987,-0.020908729,-0.039876788,0.507238095,1,0.061206349,0.446031746,2
1108083,4304,3750,380,82,8516,4436,2488,1857,853,1890,9667,0.505401597,0.440347581,0.044621888,0.458880728,0.44946726,0.088238337,0.046520869,-0.009119679,-0.043616448,0.505401597,1,0.065054016,0.440347581,2
1108058,4525,4679,318,74,9596,4276,2832,2408,664,2450,10222,0.471550646,0.487599,0.033138808,0.418313442,0.51261984,0.064957934,0.053237205,-0.02502084,-0.031819126,0.487599,2,0.016048353,0.471550646,1
1108059,6249,6766,415,86,13516,5882,3890,2942,914,2978,13664,0.462340929,0.500591891,0.03070435,0.430474239,0.5,0.066891101,0.03186669,0.000591891,-0.03618675,0.500591891,2,0.038250962,0.462340929,1
1108060,3781,4345,378,84,8588,4121,2530,2029,822,2072,9545,0.440265487,0.505938519,0.044014905,0.431744369,0.477632268,0.086118387,0.008521118,0.028306251,-0.042103482,0.505938519,2,0.065673032,0.440265487,1
1108061,4161,3916,272,67,8416,4035,2319,2089,605,2117,9076,0.494415399,0.465304183,0.032319392,0.44457911,0.485676509,0.066659321,0.049836289,-0.020372327,-0.03433993,0.494415399,1,0.029111217,0.465304183,2
